,,Fraction of people suffering from malaria caused by Plasmodium Falciparum
SC Dahoda,Apr-2015,
SC Dahoda,May-2015,
SC Dahoda,Jun-2015,
SC Dahoda,Jul-2015,
SC Dahoda,Aug-2015,
SC Dahoda,Sep-2015,
SC Dahoda,Oct-2015,
SC Dahoda,Nov-2015,
SC Dahoda,Dec-2015,
SC Dahoda,Jan-2016,
SC Dahoda,Feb-2016,
SC Dahoda,Mar-2016,
SC Dahoda,Total,
SC Davvha,Apr-2015,
SC Davvha,May-2015,
SC Davvha,Jun-2015,
SC Davvha,Jul-2015,
SC Davvha,Aug-2015,
SC Davvha,Sep-2015,
SC Davvha,Oct-2015,
SC Davvha,Nov-2015,
SC Davvha,Dec-2015,
SC Davvha,Jan-2016,
SC Davvha,Feb-2016,
SC Davvha,Mar-2016,
SC Davvha,Total,
SC Degma khurd,Apr-2015,
SC Degma khurd,May-2015,
SC Degma khurd,Jun-2015,
SC Degma khurd,Jul-2015,
SC Degma khurd,Aug-2015,
SC Degma khurd,Sep-2015,
SC Degma khurd,Oct-2015,
SC Degma khurd,Nov-2015,
SC Degma khurd,Dec-2015,
SC Degma khurd,Jan-2016,
SC Degma khurd,Feb-2016,
SC Degma khurd,Mar-2016,
SC Degma khurd,Total,
SC Devalapar,Apr-2015,
SC Devalapar,May-2015,
SC Devalapar,Jun-2015,
SC Devalapar,Jul-2015,
SC Devalapar,Aug-2015,
SC Devalapar,Sep-2015,
SC Devalapar,Oct-2015,
SC Devalapar,Nov-2015,
SC Devalapar,Dec-2015,
SC Devalapar,Jan-2016,
SC Devalapar,Feb-2016,
SC Devalapar,Mar-2016,
SC Devalapar,Total,
SC Devali Pendhari,Apr-2015,
SC Devali Pendhari,May-2015,
SC Devali Pendhari,Jun-2015,
SC Devali Pendhari,Jul-2015,
SC Devali Pendhari,Aug-2015,
SC Devali Pendhari,Sep-2015,
SC Devali Pendhari,Oct-2015,
SC Devali Pendhari,Nov-2015,
SC Devali Pendhari,Dec-2015,
SC Devali Pendhari,Jan-2016,
SC Devali Pendhari,Feb-2016,
SC Devali Pendhari,Mar-2016,
SC Devali Pendhari,Total,
SC Dhamna,Apr-2015,
SC Dhamna,May-2015,
SC Dhamna,Jun-2015,
SC Dhamna,Jul-2015,
SC Dhamna,Aug-2015,
SC Dhamna,Sep-2015,
SC Dhamna,Oct-2015,
SC Dhamna,Nov-2015,
SC Dhamna,Dec-2015,
SC Dhamna,Jan-2016,
SC Dhamna,Feb-2016,
SC Dhamna,Mar-2016,
SC Dhamna,Total,
SC Dhanla,Apr-2015,
SC Dhanla,May-2015,
SC Dhanla,Jun-2015,
SC Dhanla,Jul-2015,
SC Dhanla,Aug-2015,
SC Dhanla,Sep-2015,
SC Dhanla,Oct-2015,
SC Dhanla,Nov-2015,
SC Dhanla,Dec-2015,
SC Dhanla,Jan-2016,
SC Dhanla,Feb-2016,
SC Dhanla,Mar-2016,
SC Dhanla,Total,
SC Dhanla Yenava,Apr-2015,
SC Dhanla Yenava,May-2015,
SC Dhanla Yenava,Jun-2015,
SC Dhanla Yenava,Jul-2015,
SC Dhanla Yenava,Aug-2015,
SC Dhanla Yenava,Sep-2015,
SC Dhanla Yenava,Oct-2015,
SC Dhanla Yenava,Nov-2015,
SC Dhanla Yenava,Dec-2015,
SC Dhanla Yenava,Jan-2016,
SC Dhanla Yenava,Feb-2016,
SC Dhanla Yenava,Mar-2016,
SC Dhanla Yenava,Total,
SC Dhanoli Kondamendhi,Apr-2015,
SC Dhanoli Kondamendhi,May-2015,
SC Dhanoli Kondamendhi,Jun-2015,
SC Dhanoli Kondamendhi,Jul-2015,
SC Dhanoli Kondamendhi,Aug-2015,
SC Dhanoli Kondamendhi,Sep-2015,
SC Dhanoli Kondamendhi,Oct-2015,
SC Dhanoli Kondamendhi,Nov-2015,
SC Dhanoli Kondamendhi,Dec-2015,
SC Dhanoli Kondamendhi,Jan-2016,
SC Dhanoli Kondamendhi,Feb-2016,
SC Dhanoli Kondamendhi,Mar-2016,
SC Dhanoli Kondamendhi,Total,
SC Dhapewada Khurd,Apr-2015,
SC Dhapewada Khurd,May-2015,
SC Dhapewada Khurd,Jun-2015,
SC Dhapewada Khurd,Jul-2015,
SC Dhapewada Khurd,Aug-2015,
SC Dhapewada Khurd,Sep-2015,
SC Dhapewada Khurd,Oct-2015,
SC Dhapewada Khurd,Nov-2015,
SC Dhapewada Khurd,Dec-2015,
SC Dhapewada Khurd,Jan-2016,
SC Dhapewada Khurd,Feb-2016,
SC Dhapewada Khurd,Mar-2016,
SC Dhapewada Khurd,Total,
SC Dharmapuri Khat,Apr-2015,
SC Dharmapuri Khat,May-2015,
SC Dharmapuri Khat,Jun-2015,
SC Dharmapuri Khat,Jul-2015,
SC Dharmapuri Khat,Aug-2015,
SC Dharmapuri Khat,Sep-2015,
SC Dharmapuri Khat,Oct-2015,
SC Dharmapuri Khat,Nov-2015,
SC Dharmapuri Khat,Dec-2015,
SC Dharmapuri Khat,Jan-2016,
SC Dharmapuri Khat,Feb-2016,
SC Dharmapuri Khat,Mar-2016,
SC Dharmapuri Khat,Total,
SC Dhawlapur,Apr-2015,
SC Dhawlapur,May-2015,
SC Dhawlapur,Jun-2015,
SC Dhawlapur,Jul-2015,
SC Dhawlapur,Aug-2015,
SC Dhawlapur,Sep-2015,
SC Dhawlapur,Oct-2015,
SC Dhawlapur,Nov-2015,
SC Dhawlapur,Dec-2015,
SC Dhawlapur,Jan-2016,
SC Dhawlapur,Feb-2016,
SC Dhawlapur,Mar-2016,
SC Dhawlapur,Total,
SC Digdoh,Apr-2015,
SC Digdoh,May-2015,
SC Digdoh,Jun-2015,
SC Digdoh,Jul-2015,
SC Digdoh,Aug-2015,
SC Digdoh,Sep-2015,
SC Digdoh,Oct-2015,
SC Digdoh,Nov-2015,
SC Digdoh,Dec-2015,
SC Digdoh,Jan-2016,
SC Digdoh,Feb-2016,
SC Digdoh,Mar-2016,
SC Digdoh,Total,
SC Dighori,Apr-2015,
SC Dighori,May-2015,
SC Dighori,Jun-2015,
SC Dighori,Jul-2015,
SC Dighori,Aug-2015,
SC Dighori,Sep-2015,
SC Dighori,Oct-2015,
SC Dighori,Nov-2015,
SC Dighori,Dec-2015,
SC Dighori,Jan-2016,
SC Dighori,Feb-2016,
SC Dighori,Mar-2016,
SC Dighori,Total,
SC Digrus  bu.,Apr-2015,
SC Digrus  bu.,May-2015,
SC Digrus  bu.,Jun-2015,
SC Digrus  bu.,Jul-2015,
SC Digrus  bu.,Aug-2015,
SC Digrus  bu.,Sep-2015,
SC Digrus  bu.,Oct-2015,
SC Digrus  bu.,Nov-2015,
SC Digrus  bu.,Dec-2015,
SC Digrus  bu.,Jan-2016,
SC Digrus  bu.,Feb-2016,
SC Digrus  bu.,Mar-2016,
SC Digrus  bu.,Total,
SC Dongargaon Borkhedi,Apr-2015,
SC Dongargaon Borkhedi,May-2015,
SC Dongargaon Borkhedi,Jun-2015,
SC Dongargaon Borkhedi,Jul-2015,
SC Dongargaon Borkhedi,Aug-2015,
SC Dongargaon Borkhedi,Sep-2015,
SC Dongargaon Borkhedi,Oct-2015,
SC Dongargaon Borkhedi,Nov-2015,
SC Dongargaon Borkhedi,Dec-2015,
SC Dongargaon Borkhedi,Jan-2016,
SC Dongargaon Borkhedi,Feb-2016,
SC Dongargaon Borkhedi,Mar-2016,
SC Dongargaon Borkhedi,Total,
SC Dongargaon Yenava,Apr-2015,
SC Dongargaon Yenava,May-2015,
SC Dongargaon Yenava,Jun-2015,
SC Dongargaon Yenava,Jul-2015,
SC Dongargaon Yenava,Aug-2015,
SC Dongargaon Yenava,Sep-2015,
SC Dongargaon Yenava,Oct-2015,
SC Dongargaon Yenava,Nov-2015,
SC Dongargaon Yenava,Dec-2015,
SC Dongargaon Yenava,Jan-2016,
SC Dongargaon Yenava,Feb-2016,
SC Dongargaon Yenava,Mar-2016,
SC Dongargaon Yenava,Total,
SC Dongari Nagardhan,Apr-2015,
SC Dongari Nagardhan,May-2015,
SC Dongari Nagardhan,Jun-2015,
SC Dongari Nagardhan,Jul-2015,
SC Dongari Nagardhan,Aug-2015,
SC Dongari Nagardhan,Sep-2015,
SC Dongari Nagardhan,Oct-2015,
SC Dongari Nagardhan,Nov-2015,
SC Dongari Nagardhan,Dec-2015,
SC Dongari Nagardhan,Jan-2016,
SC Dongari Nagardhan,Feb-2016,
SC Dongari Nagardhan,Mar-2016,
SC Dongari Nagardhan,Total,
SC Dongarmauda,Apr-2015,
SC Dongarmauda,May-2015,
SC Dongarmauda,Jun-2015,
SC Dongarmauda,Jul-2015,
SC Dongarmauda,Aug-2015,
SC Dongarmauda,Sep-2015,
SC Dongarmauda,Oct-2015,
SC Dongarmauda,Nov-2015,
SC Dongarmauda,Dec-2015,
SC Dongarmauda,Jan-2016,
SC Dongarmauda,Feb-2016,
SC Dongarmauda,Mar-2016,
SC Dongarmauda,Total,
SC Dorli  Bha.,Apr-2015,
SC Dorli  Bha.,May-2015,
SC Dorli  Bha.,Jun-2015,
SC Dorli  Bha.,Jul-2015,
SC Dorli  Bha.,Aug-2015,
SC Dorli  Bha.,Sep-2015,
SC Dorli  Bha.,Oct-2015,
SC Dorli  Bha.,Nov-2015,
SC Dorli  Bha.,Dec-2015,
SC Dorli  Bha.,Jan-2016,
SC Dorli  Bha.,Feb-2016,
SC Dorli  Bha.,Mar-2016,
SC Dorli  Bha.,Total,
SC Dorli  Bhi.,Apr-2015,
SC Dorli  Bhi.,May-2015,
SC Dorli  Bhi.,Jun-2015,
SC Dorli  Bhi.,Jul-2015,
SC Dorli  Bhi.,Aug-2015,
SC Dorli  Bhi.,Sep-2015,
SC Dorli  Bhi.,Oct-2015,
SC Dorli  Bhi.,Nov-2015,
SC Dorli  Bhi.,Dec-2015,
SC Dorli  Bhi.,Jan-2016,
SC Dorli  Bhi.,Feb-2016,
SC Dorli  Bhi.,Mar-2016,
SC Dorli  Bhi.,Total,
SC Dudhala,Apr-2015,
SC Dudhala,May-2015,
SC Dudhala,Jun-2015,
SC Dudhala,Jul-2015,
SC Dudhala,Aug-2015,
SC Dudhala,Sep-2015,
SC Dudhala,Oct-2015,
SC Dudhala,Nov-2015,
SC Dudhala,Dec-2015,
SC Dudhala,Jan-2016,
SC Dudhala,Feb-2016,
SC Dudhala,Mar-2016,
SC Dudhala,Total,
SC Dudhala Kondhali,Apr-2015,
SC Dudhala Kondhali,May-2015,
SC Dudhala Kondhali,Jun-2015,
SC Dudhala Kondhali,Jul-2015,
SC Dudhala Kondhali,Aug-2015,
SC Dudhala Kondhali,Sep-2015,
SC Dudhala Kondhali,Oct-2015,
SC Dudhala Kondhali,Nov-2015,
SC Dudhala Kondhali,Dec-2015,
SC Dudhala Kondhali,Jan-2016,
SC Dudhala Kondhali,Feb-2016,
SC Dudhala Kondhali,Mar-2016,
SC Dudhala Kondhali,Total,
SC Fegad,Apr-2015,
SC Fegad,May-2015,
SC Fegad,Jun-2015,
SC Fegad,Jul-2015,
SC Fegad,Aug-2015,
SC Fegad,Sep-2015,
SC Fegad,Oct-2015,
SC Fegad,Nov-2015,
SC Fegad,Dec-2015,
SC Fegad,Jan-2016,
SC Fegad,Feb-2016,
SC Fegad,Mar-2016,
SC Fegad,Total,
SC Fetari,Apr-2015,
SC Fetari,May-2015,
SC Fetari,Jun-2015,
SC Fetari,Jul-2015,
SC Fetari,Aug-2015,
SC Fetari,Sep-2015,
SC Fetari,Oct-2015,
SC Fetari,Nov-2015,
SC Fetari,Dec-2015,
SC Fetari,Jan-2016,
SC Fetari,Feb-2016,
SC Fetari,Mar-2016,
SC Fetari,Total,
SC Gagner,Apr-2015,
SC Gagner,May-2015,
SC Gagner,Jun-2015,
SC Gagner,Jul-2015,
SC Gagner,Aug-2015,
SC Gagner,Sep-2015,
SC Gagner,Oct-2015,
SC Gagner,Nov-2015,
SC Gagner,Dec-2015,
SC Gagner,Jan-2016,
SC Gagner,Feb-2016,
SC Gagner,Mar-2016,
SC Gagner,Total,
SC Garamsur Kondhali,Apr-2015,
SC Garamsur Kondhali,May-2015,
SC Garamsur Kondhali,Jun-2015,
SC Garamsur Kondhali,Jul-2015,
SC Garamsur Kondhali,Aug-2015,
SC Garamsur Kondhali,Sep-2015,
SC Garamsur Kondhali,Oct-2015,
SC Garamsur Kondhali,Nov-2015,
SC Garamsur Kondhali,Dec-2015,
SC Garamsur Kondhali,Jan-2016,
SC Garamsur Kondhali,Feb-2016,
SC Garamsur Kondhali,Mar-2016,
SC Garamsur Kondhali,Total,
SC Gharatwada,Apr-2015,
SC Gharatwada,May-2015,
SC Gharatwada,Jun-2015,
SC Gharatwada,Jul-2015,
SC Gharatwada,Aug-2015,
SC Gharatwada,Sep-2015,
SC Gharatwada,Oct-2015,
SC Gharatwada,Nov-2015,
SC Gharatwada,Dec-2015,
SC Gharatwada,Jan-2016,
SC Gharatwada,Feb-2016,
SC Gharatwada,Mar-2016,
SC Gharatwada,Total,
SC Ghoti Hiwara,Apr-2015,
SC Ghoti Hiwara,May-2015,
SC Ghoti Hiwara,Jun-2015,
SC Ghoti Hiwara,Jul-2015,
SC Ghoti Hiwara,Aug-2015,
SC Ghoti Hiwara,Sep-2015,
SC Ghoti Hiwara,Oct-2015,
SC Ghoti Hiwara,Nov-2015,
SC Ghoti Hiwara,Dec-2015,
SC Ghoti Hiwara,Jan-2016,
SC Ghoti Hiwara,Feb-2016,
SC Ghoti Hiwara,Mar-2016,
SC Ghoti Hiwara,Total,
SC Godhani Railway,Apr-2015,
SC Godhani Railway,May-2015,
SC Godhani Railway,Jun-2015,
SC Godhani Railway,Jul-2015,
SC Godhani Railway,Aug-2015,
SC Godhani Railway,Sep-2015,
SC Godhani Railway,Oct-2015,
SC Godhani Railway,Nov-2015,
SC Godhani Railway,Dec-2015,
SC Godhani Railway,Jan-2016,
SC Godhani Railway,Feb-2016,
SC Godhani Railway,Mar-2016,
SC Godhani Railway,Total,
SC Godhni,Apr-2015,
SC Godhni,May-2015,
SC Godhni,Jun-2015,
SC Godhni,Jul-2015,
SC Godhni,Aug-2015,
SC Godhni,Sep-2015,
SC Godhni,Oct-2015,
SC Godhni,Nov-2015,
SC Godhni,Dec-2015,
SC Godhni,Jan-2016,
SC Godhni,Feb-2016,
SC Godhni,Mar-2016,
SC Godhni,Total,
SC Gondkhairi,Apr-2015,
SC Gondkhairi,May-2015,
SC Gondkhairi,Jun-2015,
SC Gondkhairi,Jul-2015,
SC Gondkhairi,Aug-2015,
SC Gondkhairi,Sep-2015,
SC Gondkhairi,Oct-2015,
SC Gondkhairi,Nov-2015,
SC Gondkhairi,Dec-2015,
SC Gondkhairi,Jan-2016,
SC Gondkhairi,Feb-2016,
SC Gondkhairi,Mar-2016,
SC Gondkhairi,Total,
SC Gonha,Apr-2015,
SC Gonha,May-2015,
SC Gonha,Jun-2015,
SC Gonha,Jul-2015,
SC Gonha,Aug-2015,
SC Gonha,Sep-2015,
SC Gonha,Oct-2015,
SC Gonha,Nov-2015,
SC Gonha,Dec-2015,
SC Gonha,Jan-2016,
SC Gonha,Feb-2016,
SC Gonha,Mar-2016,
SC Gonha,Total,
SC Gothangaon Yenava,Apr-2015,
SC Gothangaon Yenava,May-2015,
SC Gothangaon Yenava,Jun-2015,
SC Gothangaon Yenava,Jul-2015,
SC Gothangaon Yenava,Aug-2015,
SC Gothangaon Yenava,Sep-2015,
SC Gothangaon Yenava,Oct-2015,
SC Gothangaon Yenava,Nov-2015,
SC Gothangaon Yenava,Dec-2015,
SC Gothangaon Yenava,Jan-2016,
SC Gothangaon Yenava,Feb-2016,
SC Gothangaon Yenava,Mar-2016,
SC Gothangaon Yenava,Total,
SC Gowari,Apr-2015,
SC Gowari,May-2015,
SC Gowari,Jun-2015,
SC Gowari,Jul-2015,
SC Gowari,Aug-2015,
SC Gowari,Sep-2015,
SC Gowari,Oct-2015,
SC Gowari,Nov-2015,
SC Gowari,Dec-2015,
SC Gowari,Jan-2016,
SC Gowari,Feb-2016,
SC Gowari,Mar-2016,
SC Gowari,Total,
SC Guguldoh,Apr-2015,
SC Guguldoh,May-2015,
SC Guguldoh,Jun-2015,
SC Guguldoh,Jul-2015,
SC Guguldoh,Aug-2015,
SC Guguldoh,Sep-2015,
SC Guguldoh,Oct-2015,
SC Guguldoh,Nov-2015,
SC Guguldoh,Dec-2015,
SC Guguldoh,Jan-2016,
SC Guguldoh,Feb-2016,
SC Guguldoh,Mar-2016,
SC Guguldoh,Total,
SC Gumgaon,Apr-2015,
SC Gumgaon,May-2015,
SC Gumgaon,Jun-2015,
SC Gumgaon,Jul-2015,
SC Gumgaon,Aug-2015,
SC Gumgaon,Sep-2015,
SC Gumgaon,Oct-2015,
SC Gumgaon,Nov-2015,
SC Gumgaon,Dec-2015,
SC Gumgaon,Jan-2016,
SC Gumgaon,Feb-2016,
SC Gumgaon,Mar-2016,
SC Gumgaon,Total,
SC Gumthala,Apr-2015,
SC Gumthala,May-2015,
SC Gumthala,Jun-2015,
SC Gumthala,Jul-2015,
SC Gumthala,Aug-2015,
SC Gumthala,Sep-2015,
SC Gumthala,Oct-2015,
SC Gumthala,Nov-2015,
SC Gumthala,Dec-2015,
SC Gumthala,Jan-2016,
SC Gumthala,Feb-2016,
SC Gumthala,Mar-2016,
SC Gumthala,Total,
SC Gumthala 1,Apr-2015,
SC Gumthala 1,May-2015,
SC Gumthala 1,Jun-2015,
SC Gumthala 1,Jul-2015,
SC Gumthala 1,Aug-2015,
SC Gumthala 1,Sep-2015,
SC Gumthala 1,Oct-2015,
SC Gumthala 1,Nov-2015,
SC Gumthala 1,Dec-2015,
SC Gumthala 1,Jan-2016,
SC Gumthala 1,Feb-2016,
SC Gumthala 1,Mar-2016,
SC Gumthala 1,Total,
SC Hardoli,Apr-2015,
SC Hardoli,May-2015,
SC Hardoli,Jun-2015,
SC Hardoli,Jul-2015,
SC Hardoli,Aug-2015,
SC Hardoli,Sep-2015,
SC Hardoli,Oct-2015,
SC Hardoli,Nov-2015,
SC Hardoli,Dec-2015,
SC Hardoli,Jan-2016,
SC Hardoli,Feb-2016,
SC Hardoli,Mar-2016,
SC Hardoli,Total,
SC Hevati,Apr-2015,
SC Hevati,May-2015,
SC Hevati,Jun-2015,
SC Hevati,Jul-2015,
SC Hevati,Aug-2015,
SC Hevati,Sep-2015,
SC Hevati,Oct-2015,
SC Hevati,Nov-2015,
SC Hevati,Dec-2015,
SC Hevati,Jan-2016,
SC Hevati,Feb-2016,
SC Hevati,Mar-2016,
SC Hevati,Total,
SC Hivara Sirsi,Apr-2015,
SC Hivara Sirsi,May-2015,
SC Hivara Sirsi,Jun-2015,
SC Hivara Sirsi,Jul-2015,
SC Hivara Sirsi,Aug-2015,
SC Hivara Sirsi,Sep-2015,
SC Hivara Sirsi,Oct-2015,
SC Hivara Sirsi,Nov-2015,
SC Hivara Sirsi,Dec-2015,
SC Hivara Sirsi,Jan-2016,
SC Hivara Sirsi,Feb-2016,
SC Hivara Sirsi,Mar-2016,
SC Hivara Sirsi,Total,
SC HiwaraBazar,Apr-2015,
SC HiwaraBazar,May-2015,
SC HiwaraBazar,Jun-2015,
SC HiwaraBazar,Jul-2015,
SC HiwaraBazar,Aug-2015,
SC HiwaraBazar,Sep-2015,
SC HiwaraBazar,Oct-2015,
SC HiwaraBazar,Nov-2015,
SC HiwaraBazar,Dec-2015,
SC HiwaraBazar,Jan-2016,
SC HiwaraBazar,Feb-2016,
SC HiwaraBazar,Mar-2016,
SC HiwaraBazar,Total,
SC Isapur  khurd,Apr-2015,
SC Isapur  khurd,May-2015,
SC Isapur  khurd,Jun-2015,
SC Isapur  khurd,Jul-2015,
SC Isapur  khurd,Aug-2015,
SC Isapur  khurd,Sep-2015,
SC Isapur  khurd,Oct-2015,
SC Isapur  khurd,Nov-2015,
SC Isapur  khurd,Dec-2015,
SC Isapur  khurd,Jan-2016,
SC Isapur  khurd,Feb-2016,
SC Isapur  khurd,Mar-2016,
SC Isapur  khurd,Total,
SC Isapur Patansawangi,Apr-2015,
SC Isapur Patansawangi,May-2015,
SC Isapur Patansawangi,Jun-2015,
SC Isapur Patansawangi,Jul-2015,
SC Isapur Patansawangi,Aug-2015,
SC Isapur Patansawangi,Sep-2015,
SC Isapur Patansawangi,Oct-2015,
SC Isapur Patansawangi,Nov-2015,
SC Isapur Patansawangi,Dec-2015,
SC Isapur Patansawangi,Jan-2016,
SC Isapur Patansawangi,Feb-2016,
SC Isapur Patansawangi,Mar-2016,
SC Isapur Patansawangi,Total,
SC JAWALI,Apr-2015,
SC JAWALI,May-2015,
SC JAWALI,Jun-2015,
SC JAWALI,Jul-2015,
SC JAWALI,Aug-2015,
SC JAWALI,Sep-2015,
SC JAWALI,Oct-2015,
SC JAWALI,Nov-2015,
SC JAWALI,Dec-2015,
SC JAWALI,Jan-2016,
SC JAWALI,Feb-2016,
SC JAWALI,Mar-2016,
SC JAWALI,Total,
SC JUNI Kamptee,Apr-2015,
SC JUNI Kamptee,May-2015,
SC JUNI Kamptee,Jun-2015,
SC JUNI Kamptee,Jul-2015,
SC JUNI Kamptee,Aug-2015,
SC JUNI Kamptee,Sep-2015,
SC JUNI Kamptee,Oct-2015,
SC JUNI Kamptee,Nov-2015,
SC JUNI Kamptee,Dec-2015,
SC JUNI Kamptee,Jan-2016,
SC JUNI Kamptee,Feb-2016,
SC JUNI Kamptee,Mar-2016,
SC JUNI Kamptee,Total,
SC Jalalkheda,Apr-2015,
SC Jalalkheda,May-2015,
SC Jalalkheda,Jun-2015,
SC Jalalkheda,Jul-2015,
SC Jalalkheda,Aug-2015,
SC Jalalkheda,Sep-2015,
SC Jalalkheda,Oct-2015,
SC Jalalkheda,Nov-2015,
SC Jalalkheda,Dec-2015,
SC Jalalkheda,Jan-2016,
SC Jalalkheda,Feb-2016,
SC Jalalkheda,Mar-2016,
SC Jalalkheda,Total,
SC Jamgaon Jalalkheda,Apr-2015,
SC Jamgaon Jalalkheda,May-2015,
SC Jamgaon Jalalkheda,Jun-2015,
SC Jamgaon Jalalkheda,Jul-2015,
SC Jamgaon Jalalkheda,Aug-2015,
SC Jamgaon Jalalkheda,Sep-2015,
SC Jamgaon Jalalkheda,Oct-2015,
SC Jamgaon Jalalkheda,Nov-2015,
SC Jamgaon Jalalkheda,Dec-2015,
SC Jamgaon Jalalkheda,Jan-2016,
SC Jamgaon Jalalkheda,Feb-2016,
SC Jamgaon Jalalkheda,Mar-2016,
SC Jamgaon Jalalkheda,Total,
SC Jatamkhora,Apr-2015,
SC Jatamkhora,May-2015,
SC Jatamkhora,Jun-2015,
SC Jatamkhora,Jul-2015,
SC Jatamkhora,Aug-2015,
SC Jatamkhora,Sep-2015,
SC Jatamkhora,Oct-2015,
SC Jatamkhora,Nov-2015,
SC Jatamkhora,Dec-2015,
SC Jatamkhora,Jan-2016,
SC Jatamkhora,Feb-2016,
SC Jatamkhora,Mar-2016,
SC Jatamkhora,Total,
SC Jiwanapur,Apr-2015,
SC Jiwanapur,May-2015,
SC Jiwanapur,Jun-2015,
SC Jiwanapur,Jul-2015,
SC Jiwanapur,Aug-2015,
SC Jiwanapur,Sep-2015,
SC Jiwanapur,Oct-2015,
SC Jiwanapur,Nov-2015,
SC Jiwanapur,Dec-2015,
SC Jiwanapur,Jan-2016,
SC Jiwanapur,Feb-2016,
SC Jiwanapur,Mar-2016,
SC Jiwanapur,Total,
SC Joga,Apr-2015,
SC Joga,May-2015,
SC Joga,Jun-2015,
SC Joga,Jul-2015,
SC Joga,Aug-2015,
SC Joga,Sep-2015,
SC Joga,Oct-2015,
SC Joga,Nov-2015,
SC Joga,Dec-2015,
SC Joga,Jan-2016,
SC Joga,Feb-2016,
SC Joga,Mar-2016,
SC Joga,Total,
SC KANDRI,Apr-2015,
SC KANDRI,May-2015,
SC KANDRI,Jun-2015,
SC KANDRI,Jul-2015,
SC KANDRI,Aug-2015,
SC KANDRI,Sep-2015,
SC KANDRI,Oct-2015,
SC KANDRI,Nov-2015,
SC KANDRI,Dec-2015,
SC KANDRI,Jan-2016,
SC KANDRI,Feb-2016,
SC KANDRI,Mar-2016,
SC KANDRI,Total,
SC KARANBHAD,Apr-2015,
SC KARANBHAD,May-2015,
SC KARANBHAD,Jun-2015,
SC KARANBHAD,Jul-2015,
SC KARANBHAD,Aug-2015,
SC KARANBHAD,Sep-2015,
SC KARANBHAD,Oct-2015,
SC KARANBHAD,Nov-2015,
SC KARANBHAD,Dec-2015,
SC KARANBHAD,Jan-2016,
SC KARANBHAD,Feb-2016,
SC KARANBHAD,Mar-2016,
SC KARANBHAD,Total,
SC KARGAON,Apr-2015,
SC KARGAON,May-2015,
SC KARGAON,Jun-2015,
SC KARGAON,Jul-2015,
SC KARGAON,Aug-2015,
SC KARGAON,Sep-2015,
SC KARGAON,Oct-2015,
SC KARGAON,Nov-2015,
SC KARGAON,Dec-2015,
SC KARGAON,Jan-2016,
SC KARGAON,Feb-2016,
SC KARGAON,Mar-2016,
SC KARGAON,Total,
SC KHANDALA Kanhan,Apr-2015,
SC KHANDALA Kanhan,May-2015,
SC KHANDALA Kanhan,Jun-2015,
SC KHANDALA Kanhan,Jul-2015,
SC KHANDALA Kanhan,Aug-2015,
SC KHANDALA Kanhan,Sep-2015,
SC KHANDALA Kanhan,Oct-2015,
SC KHANDALA Kanhan,Nov-2015,
SC KHANDALA Kanhan,Dec-2015,
SC KHANDALA Kanhan,Jan-2016,
SC KHANDALA Kanhan,Feb-2016,
SC KHANDALA Kanhan,Mar-2016,
SC KHANDALA Kanhan,Total,
SC KHAPA,Apr-2015,
SC KHAPA,May-2015,
SC KHAPA,Jun-2015,
SC KHAPA,Jul-2015,
SC KHAPA,Aug-2015,
SC KHAPA,Sep-2015,
SC KHAPA,Oct-2015,
SC KHAPA,Nov-2015,
SC KHAPA,Dec-2015,
SC KHAPA,Jan-2016,
SC KHAPA,Feb-2016,
SC KHAPA,Mar-2016,
SC KHAPA,Total,
SC Kachurwahi,Apr-2015,
SC Kachurwahi,May-2015,
SC Kachurwahi,Jun-2015,
SC Kachurwahi,Jul-2015,
SC Kachurwahi,Aug-2015,
SC Kachurwahi,Sep-2015,
SC Kachurwahi,Oct-2015,
SC Kachurwahi,Nov-2015,
SC Kachurwahi,Dec-2015,
SC Kachurwahi,Jan-2016,
SC Kachurwahi,Feb-2016,
SC Kachurwahi,Mar-2016,
SC Kachurwahi,Total,
SC Kalmana Pachgaon,Apr-2015,
SC Kalmana Pachgaon,May-2015,
SC Kalmana Pachgaon,Jun-2015,
SC Kalmana Pachgaon,Jul-2015,
SC Kalmana Pachgaon,Aug-2015,
SC Kalmana Pachgaon,Sep-2015,
SC Kalmana Pachgaon,Oct-2015,
SC Kalmana Pachgaon,Nov-2015,
SC Kalmana Pachgaon,Dec-2015,
SC Kalmana Pachgaon,Jan-2016,
SC Kalmana Pachgaon,Feb-2016,
SC Kalmana Pachgaon,Mar-2016,
SC Kalmana Pachgaon,Total,
SC Kalmbi,Apr-2015,
SC Kalmbi,May-2015,
SC Kalmbi,Jun-2015,
SC Kalmbi,Jul-2015,
SC Kalmbi,Aug-2015,
SC Kalmbi,Sep-2015,
SC Kalmbi,Oct-2015,
SC Kalmbi,Nov-2015,
SC Kalmbi,Dec-2015,
SC Kalmbi,Jan-2016,
SC Kalmbi,Feb-2016,
SC Kalmbi,Mar-2016,
SC Kalmbi,Total,
SC Kandri Mansar,Apr-2015,
SC Kandri Mansar,May-2015,
SC Kandri Mansar,Jun-2015,
SC Kandri Mansar,Jul-2015,
SC Kandri Mansar,Aug-2015,
SC Kandri Mansar,Sep-2015,
SC Kandri Mansar,Oct-2015,
SC Kandri Mansar,Nov-2015,
SC Kandri Mansar,Dec-2015,
SC Kandri Mansar,Jan-2016,
